Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010),Parámetros climáticos promedio de Barcelona Can Bruixa — Barcelona ciudad (1987-2010)
Mes,Ene.,Feb.,Mar.,Abr.,May.,Jun.,Jul.,Ago.,Sep.,Oct.,Nov.,Dic.,Anual
Temp. máx. abs. (°C),22.4,24.8,28.8,27.7,31.6,35.8,36.8,38.2,33.4,32.6,26.1,23.1,38.2
Temp. máx. media (°C),14.8,15.6,17.4,19.1,22.5,26.1,28.6,29.0,26.0,22.5,17.9,15.1,21.2
Temp. media (°C),11.8,12.4,14.2,15.8,19.3,23.0,25.7,26.1,23.0,19.5,14.9,12.3,18.2
Temp. mín. media (°C),8.8,9.3,10.9,12.5,16.1,19.8,22.7,23.1,20.0,16.5,11.9,9.5,15.1
Temp. mín. abs. (°C),-1.0,0.6,0.4,6.2,6.3,12.4,15.5,15.2,12.5,5.4,1.7,0.7,-1.0
Precipitación total (mm),43.7,31.4,33.0,47.7,47.4,25.5,25.1,40.8,81.9,96.5,45.1,46.8,565.0
Días de precipitaciones (≥ 1 mm),6.0,5.0,6.2,7.9,7.5,5.5,3.1,5.8,8.0,8.0,6.6,7.0,76.6
Días de nevadas (≥ 1 mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​,Fuente: Ayuntamiento de Barcelona[34]​
